coddoc,edad,estciv,educacion,mora,balance,vivienda,prestamo,dia,duracion,campana,pdias,previo,Adq_Ahorro,contactado,edadacotado,balanceacotado,balanceclase,duracionacotado,campanaacotado
CODDOC0590,43,1,2,0,105,0,1,4,668,2,-1,0,0,0,43,105,1,500,2
CODDOC0591,45,1,3,0,334,0,0,5,87,2,-1,0,0,0,45,334,1,87,2
CODDOC0593,41,1,2,0,108,1,1,13,83,7,-1,0,0,0,41,108,1,83,6
CODDOC0594,31,1,2,0,660,0,0,22,115,1,-1,0,0,0,31,660,1,115,1
CODDOC0599,60,0,0,0,-49,1,0,29,188,1,261,2,0,1,60,-49,1,188,1
CODDOC0600,43,0,2,0,1413,1,0,28,75,3,-1,0,0,0,43,1413,1,75,3
CODDOC0601,58,0,3,0,264,1,1,8,523,3,-1,0,0,0,58,264,1,500,3
CODDOC0602,52,1,3,0,54,1,1,18,103,1,-1,0,0,0,52,54,1,103,1
CODDOC0603,50,1,1,0,12519,1,0,17,146,2,147,4,0,1,50,4000,1,146,2
CODDOC0604,32,2,2,0,2881,0,0,2,356,1,-1,0,1,0,32,2881,1,356,1
CODDOC0605,42,1,1,0,0,1,0,17,71,1,-1,0,0,0,42,0,1,71,1
CODDOC0606,31,1,2,0,88,1,1,8,189,2,-1,0,0,0,31,88,1,189,2
CODDOC0608,36,0,3,0,119,0,0,23,127,8,-1,0,0,0,36,119,1,127,6
CODDOC0610,46,1,3,0,342,1,1,5,84,1,-1,0,0,0,46,342,1,84,1
CODDOC0612,32,1,2,0,14,1,0,2,171,1,-1,0,0,0,32,14,1,171,1
CODDOC0614,41,1,3,0,231,0,0,7,352,2,-1,0,1,0,41,231,1,352,2
CODDOC0617,28,2,3,0,231,1,1,25,568,2,-1,0,0,0,28,231,1,500,2
CODDOC0618,31,2,2,0,36,0,0,27,105,2,-1,0,0,0,31,36,1,105,2
CODDOC0622,30,2,3,0,6619,1,0,21,239,8,-1,0,0,0,30,4000,1,239,6
CODDOC0623,32,2,2,0,-84,1,0,11,426,1,-1,0,0,0,32,-84,1,426,1
CODDOC0624,40,2,3,0,1509,0,0,12,333,1,58,3,0,1,40,1509,1,333,1
CODDOC0626,36,1,2,0,146,1,1,15,284,2,-1,0,0,0,36,146,1,284,2
CODDOC0628,57,1,2,0,374,1,1,16,236,1,-1,0,0,0,57,374,1,236,1
CODDOC0629,45,1,2,0,88,0,0,29,150,2,-1,0,0,0,45,88,1,150,2
CODDOC0632,33,1,3,0,8023,0,0,30,107,1,105,3,0,1,33,4000,1,107,1
CODDOC0633,52,1,2,0,289,1,0,21,45,13,-1,0,0,0,52,289,1,45,6
CODDOC0637,41,0,1,0,2195,1,0,3,211,5,-1,0,0,0,41,2195,1,211,5
CODDOC0638,31,1,2,0,33,0,0,6,165,4,-1,0,0,0,31,33,1,165,4
CODDOC0641,57,0,0,0,887,0,0,20,43,8,-1,0,0,0,57,887,1,43,6
CODDOC0642,56,1,0,0,0,0,0,20,471,2,-1,0,0,0,56,0,1,471,2
CODDOC0643,53,2,2,0,1178,1,0,15,295,2,-1,0,0,0,53,1178,1,295,2
CODDOC0644,39,1,3,0,2763,1,0,2,526,2,-1,0,1,0,39,2763,1,500,2
CODDOC0645,32,2,3,0,890,1,1,28,27,10,-1,0,0,0,32,890,1,27,6
CODDOC0648,46,0,3,0,6269,1,0,18,249,3,112,2,0,1,46,4000,1,249,3
CODDOC0649,29,1,2,0,178,1,0,5,231,4,-1,0,0,0,29,178,1,231,4
CODDOC0651,33,2,3,0,23663,1,0,16,199,2,146,2,0,1,33,4000,1,199,2
CODDOC0656,59,1,1,0,0,1,0,26,104,7,-1,0,0,0,59,0,1,104,6
CODDOC0658,64,1,1,0,43,0,0,11,117,1,91,1,0,1,64,43,1,117,1
CODDOC0661,36,0,2,0,666,1,1,3,190,1,133,1,0,1,36,666,1,190,1
CODDOC0663,38,2,3,0,25,1,0,1,232,2,-1,0,1,0,38,25,1,232,2
CODDOC0664,53,1,1,0,1034,1,0,19,854,2,170,3,0,1,53,1034,1,500,2
CODDOC0665,46,2,2,0,324,1,0,30,293,6,-1,0,0,0,46,324,1,293,6
CODDOC0668,55,1,1,0,621,0,1,2,114,1,208,1,0,1,55,621,1,114,1
CODDOC0669,55,0,2,0,138,0,0,17,205,1,-1,0,0,0,55,138,1,205,1
CODDOC0672,44,1,2,0,310,1,0,6,200,1,253,1,0,1,44,310,1,200,1
CODDOC0673,32,1,0,0,73,1,0,21,158,1,135,1,0,1,32,73,1,158,1
CODDOC0675,41,0,2,0,1281,0,0,31,45,3,-1,0,0,0,41,1281,1,45,3
CODDOC0677,58,2,3,0,2,1,0,11,168,3,-1,0,0,0,58,2,1,168,3
CODDOC0681,28,2,0,0,174,0,0,28,184,1,-1,0,0,0,28,174,1,184,1
CODDOC0682,31,1,2,0,251,0,1,29,156,2,-1,0,0,0,31,251,1,156,2
CODDOC0685,28,2,2,0,168,0,0,1,347,3,140,2,1,1,28,168,1,347,3
CODDOC0686,46,1,2,0,1550,1,0,16,126,2,149,8,0,1,46,1550,1,126,2
CODDOC0687,47,1,3,0,7708,1,0,21,157,5,-1,0,0,0,47,4000,1,157,5
CODDOC0693,33,2,1,0,599,1,0,21,29,1,-1,0,0,0,33,599,1,29,1
CODDOC0694,53,1,0,0,28,0,0,31,117,2,-1,0,0,0,53,28,1,117,2
CODDOC0698,34,1,2,0,0,1,0,15,144,1,-1,0,0,0,34,0,1,144,1
CODDOC0699,36,2,2,0,340,0,1,16,559,3,-1,0,0,0,36,340,1,500,3
CODDOC0700,35,1,3,0,0,0,0,5,74,1,168,4,0,1,35,0,1,74,1
CODDOC0701,29,1,2,0,3,1,0,10,183,1,-1,0,0,0,29,3,1,183,1
CODDOC0703,32,0,3,0,874,0,0,12,1282,6,-1,0,1,0,32,874,1,500,6
CODDOC0704,48,1,2,0,705,0,0,13,108,2,-1,0,0,0,48,705,1,108,2
CODDOC0711,46,1,1,0,67,0,0,24,9,1,-1,0,0,0,46,67,1,9,1
CODDOC0714,25,2,2,0,1790,0,0,17,224,1,322,3,0,1,25,1790,1,224,1
CODDOC0717,45,1,2,0,115,0,0,11,209,4,-1,0,0,0,45,115,1,209,4
CODDOC0718,40,1,3,0,10786,0,0,20,111,3,-1,0,0,0,40,4000,1,111,3
CODDOC0719,40,1,2,0,498,1,0,8,55,2,298,4,0,1,40,498,1,55,2
CODDOC0721,48,1,3,0,810,0,0,6,383,1,-1,0,0,0,48,810,1,383,1
CODDOC0722,31,2,3,0,-162,1,0,18,380,1,-1,0,0,0,31,-162,1,380,1
CODDOC0724,34,1,2,0,586,1,1,8,224,2,-1,0,0,0,34,586,1,224,2
CODDOC0726,31,1,3,0,1010,1,0,15,385,3,364,9,0,1,31,1010,1,385,3
CODDOC0727,37,2,3,0,509,1,0,6,133,1,-1,0,0,0,37,509,1,133,1
CODDOC0730,47,2,3,0,153,1,0,18,192,2,-1,0,0,0,47,153,1,192,2
CODDOC0733,50,1,3,0,3463,0,1,28,96,1,-1,0,1,0,50,3463,1,96,1
CODDOC0734,33,1,2,0,1158,1,0,20,25,2,-1,0,0,0,33,1158,1,25,2
CODDOC0737,52,0,2,0,204,0,0,7,134,2,-1,0,0,0,52,204,1,134,2
CODDOC0741,57,1,3,0,3250,0,0,20,162,3,-1,0,0,0,57,3250,1,162,3
CODDOC0742,28,2,2,0,1633,0,0,5,275,1,-1,0,1,0,28,1633,1,275,1
CODDOC0752,46,1,2,0,3098,1,0,21,192,9,-1,0,0,0,46,3098,1,192,6
CODDOC0753,31,1,1,0,352,1,0,19,97,9,-1,0,0,0,31,352,1,97,6
CODDOC0755,35,1,2,0,1949,1,0,2,200,3,-1,0,0,0,35,1949,1,200,3
CODDOC0756,32,2,2,0,739,1,0,20,91,3,-1,0,0,0,32,739,1,91,3
CODDOC0759,40,1,1,0,1136,1,0,21,86,1,-1,0,0,0,40,1136,1,86,1
CODDOC0760,42,1,3,0,233,0,0,5,446,1,-1,0,0,0,42,233,1,446,1
CODDOC0765,28,1,2,0,0,1,0,5,335,2,281,8,0,1,28,0,1,335,2
CODDOC0766,37,0,2,0,414,0,0,29,293,2,162,4,0,1,37,414,1,293,2
CODDOC0767,57,1,1,0,1052,1,0,13,227,4,-1,0,0,0,57,1052,1,227,4
CODDOC0769,55,1,1,0,343,1,0,14,276,3,-1,0,0,0,55,343,1,276,3
CODDOC0770,52,1,3,0,1944,1,0,15,238,3,323,2,0,1,52,1944,1,238,3
CODDOC0771,26,2,2,0,-32,1,1,31,14,6,-1,0,0,0,26,-32,1,14,6
CODDOC0773,26,2,3,0,350,0,0,8,367,1,-1,0,0,0,26,350,1,367,1
CODDOC0774,33,1,2,0,2,1,0,16,132,1,-1,0,0,0,33,2,1,132,1
CODDOC0775,24,2,1,0,111,1,1,27,42,4,-1,0,0,0,24,111,1,42,4
CODDOC0776,37,0,3,0,168,1,0,5,227,1,-1,0,0,0,37,168,1,227,1
CODDOC0777,28,2,2,0,3,0,0,18,40,8,349,6,0,1,28,3,1,40,6
CODDOC0778,30,2,2,0,102,1,0,7,614,2,-1,0,0,0,30,102,1,500,2
CODDOC0779,33,1,1,0,0,1,0,15,270,1,-1,0,0,0,33,0,1,270,1
CODDOC0780,55,1,1,0,159,0,0,4,15,1,-1,0,0,0,55,159,1,15,1
CODDOC0782,42,1,2,0,352,1,0,11,79,3,-1,0,0,0,42,352,1,79,3
CODDOC0783,37,1,3,0,865,1,0,3,101,1,-1,0,0,0,37,865,1,101,1
CODDOC0784,59,1,1,0,179,1,0,5,55,3,-1,0,0,0,59,179,1,55,3
CODDOC0785,27,2,2,0,5,1,0,19,205,3,-1,0,0,0,27,5,1,205,3
CODDOC0786,23,1,3,1,-230,1,0,18,259,2,-1,0,0,0,23,-230,1,259,2
CODDOC0795,29,2,2,0,908,1,0,20,1663,1,-1,0,1,0,29,908,1,500,1
CODDOC0798,58,1,2,0,111,0,0,24,58,2,-1,0,0,0,58,111,1,58,2
CODDOC0799,34,2,0,0,1281,0,0,25,279,1,117,1,0,1,34,1281,1,279,1
CODDOC0803,40,1,2,0,643,1,0,17,74,2,256,1,0,1,40,643,1,74,2
CODDOC0804,57,2,2,0,254,0,0,8,676,1,-1,0,0,0,57,254,1,500,1
CODDOC0807,53,0,0,0,629,1,0,8,298,1,-1,0,0,0,53,629,1,298,1
CODDOC0808,48,1,2,0,-202,1,1,30,225,4,-1,0,0,0,48,-202,1,225,4
CODDOC0810,34,1,3,0,703,1,0,14,342,1,-1,0,1,0,34,703,1,342,1
CODDOC0811,46,1,2,0,-216,1,0,28,404,3,-1,0,0,0,46,-216,1,404,3
CODDOC0812,45,0,2,0,88,0,1,7,332,1,-1,0,0,0,45,88,1,332,1
CODDOC0813,51,2,3,0,16,1,0,30,158,1,-1,0,0,0,51,16,1,158,1
CODDOC0816,32,1,2,0,456,0,0,12,121,1,-1,0,0,0,32,456,1,121,1
CODDOC0821,50,1,2,1,421,0,0,20,22,5,-1,0,0,0,50,421,1,22,5
CODDOC0822,31,2,3,0,112,1,0,2,159,2,271,1,0,1,31,112,1,159,2
CODDOC0824,43,1,3,0,1429,1,0,19,1015,1,198,2,1,1,43,1429,1,500,1
CODDOC0831,42,2,3,0,0,0,0,7,99,1,-1,0,0,0,42,0,1,99,1
CODDOC0832,47,1,2,0,1996,0,0,5,761,2,-1,0,1,0,47,1996,1,500,2
CODDOC0834,38,1,2,0,3190,1,0,20,20,2,-1,0,0,0,38,3190,1,20,2
CODDOC0835,50,1,2,0,1772,0,0,29,206,4,-1,0,0,0,50,1772,1,206,4
CODDOC0836,27,2,2,0,-151,0,0,8,283,2,-1,0,0,0,27,-151,1,283,2
CODDOC0837,55,1,1,0,16,0,0,20,64,1,-1,0,0,0,55,16,1,64,1
CODDOC0838,39,2,2,0,7066,1,0,15,667,3,357,3,1,1,39,4000,1,500,3
CODDOC0840,37,1,3,0,4798,1,0,20,156,2,-1,0,0,0,37,4000,1,156,2
CODDOC0842,42,1,2,0,439,0,0,20,143,2,-1,0,0,0,42,439,1,143,2
CODDOC0843,40,0,2,0,1927,1,0,15,62,1,-1,0,0,0,40,1927,1,62,1
CODDOC0849,41,1,2,0,4900,1,0,31,121,2,-1,0,0,0,41,4000,1,121,2
CODDOC0851,33,1,3,0,148,0,0,20,717,1,-1,0,0,0,33,148,1,500,1
CODDOC0852,46,1,2,0,5,0,0,18,71,3,-1,0,0,0,46,5,1,71,3
CODDOC0853,36,1,2,0,-148,0,0,18,144,2,-1,0,0,0,36,-148,1,144,2
CODDOC0854,48,0,3,0,113,0,1,22,38,1,-1,0,0,0,48,113,1,38,1
CODDOC0861,58,1,1,0,309,0,0,19,156,2,-1,0,0,0,58,309,1,156,2
CODDOC0863,41,2,2,0,1020,1,0,19,882,1,-1,0,1,0,41,1020,1,500,1
CODDOC0864,49,1,1,0,489,1,0,27,84,4,-1,0,0,0,49,489,1,84,4
CODDOC0866,32,2,2,0,-255,0,1,2,957,3,-1,0,0,0,32,-255,1,500,3
CODDOC0868,33,0,1,0,636,1,0,9,211,11,-1,0,0,0,33,636,1,211,6
CODDOC0869,35,1,2,0,141,1,0,19,299,2,-1,0,0,0,35,141,1,299,2
CODDOC0870,56,1,2,0,150,1,1,11,102,6,349,1,0,1,56,150,1,102,6
CODDOC0872,31,2,1,0,26965,0,0,21,654,2,-1,0,1,0,31,4000,1,500,2
CODDOC0874,29,2,3,0,2485,0,0,24,48,6,-1,0,0,0,29,2485,1,48,6
CODDOC0877,33,1,3,0,595,0,0,7,22,2,-1,0,0,0,33,595,1,22,2
CODDOC0878,30,2,3,0,19358,0,0,19,258,2,-1,0,0,0,30,4000,1,258,2
CODDOC0879,31,2,2,0,203,0,1,19,177,1,-1,0,0,0,31,203,1,177,1
CODDOC0885,48,1,1,0,606,0,0,5,77,6,-1,0,0,0,48,606,1,77,6
CODDOC0887,60,1,1,0,65,1,0,9,1028,2,-1,0,1,0,60,65,1,500,2
CODDOC0888,41,1,2,0,338,1,0,14,87,1,-1,0,0,0,41,338,1,87,1
CODDOC0890,36,1,3,0,9269,1,1,19,107,2,-1,0,0,0,36,4000,1,107,2
CODDOC0893,27,2,3,0,5291,0,0,12,192,2,92,2,1,1,27,4000,1,192,2
CODDOC0894,49,2,2,0,61,1,0,29,185,2,246,1,0,1,49,61,1,185,2
CODDOC0895,37,1,3,0,0,1,0,17,77,1,-1,0,0,0,37,0,1,77,1
CODDOC0897,31,2,2,1,25,0,0,2,381,1,-1,0,0,0,31,25,1,381,1
CODDOC0898,31,1,2,0,1354,1,1,17,222,2,-1,0,0,0,31,1354,1,222,2
CODDOC0899,35,1,1,0,793,1,0,17,106,1,-1,0,0,0,35,793,1,106,1
CODDOC0900,51,0,0,0,10287,1,0,29,117,1,-1,0,0,0,51,4000,1,117,1
CODDOC0905,45,1,3,0,-459,0,0,21,508,6,-1,0,0,0,45,-459,1,500,6
CODDOC0906,28,2,2,0,198,0,0,5,128,2,-1,0,1,0,28,198,1,128,2
CODDOC0913,43,2,3,0,1017,1,0,19,257,2,-1,0,0,0,43,1017,1,257,2
CODDOC0916,33,1,2,0,4040,1,0,20,132,2,-1,0,0,0,33,4000,1,132,2
CODDOC0917,36,1,2,0,13,0,0,3,284,1,-1,0,0,0,36,13,1,284,1
CODDOC0920,25,1,2,0,-76,1,0,12,241,3,-1,0,0,0,25,-76,1,241,3
CODDOC0922,34,1,3,0,136,1,0,22,156,1,-1,0,0,0,34,136,1,156,1
CODDOC0925,45,1,1,0,7353,0,0,13,536,2,-1,0,0,0,45,4000,1,500,2
CODDOC0926,33,1,1,0,511,1,0,21,304,2,-1,0,0,0,33,511,1,304,2
CODDOC0927,38,1,1,0,3913,1,0,20,196,2,315,2,0,1,38,3913,1,196,2
CODDOC0928,32,0,2,0,1097,1,0,12,298,2,-1,0,0,0,32,1097,1,298,2
CODDOC0930,51,0,2,0,340,1,0,8,186,1,-1,0,0,0,51,340,1,186,1
CODDOC0932,41,1,2,0,2993,1,0,22,24,12,-1,0,0,0,41,2993,1,24,6
CODDOC0933,39,0,3,0,3575,0,1,18,74,3,-1,0,0,0,39,3575,1,74,3
CODDOC0936,46,1,1,0,2904,0,0,20,277,2,-1,0,0,0,46,2904,1,277,2
CODDOC0937,50,0,3,0,1790,0,1,6,748,3,-1,0,0,0,50,1790,1,500,3
CODDOC0941,34,0,0,0,172,0,0,15,177,1,-1,0,1,0,34,172,1,177,1
CODDOC0942,34,1,3,0,0,1,0,7,262,1,99,2,1,1,34,0,1,262,1
CODDOC0943,36,1,3,0,222,1,0,6,317,1,169,2,0,1,36,222,1,317,1
CODDOC0945,40,1,2,0,1451,0,0,1,314,1,-1,0,1,0,40,1451,1,314,1
CODDOC0946,41,1,2,0,1066,0,0,11,109,3,-1,0,1,0,41,1066,1,109,3
CODDOC0947,52,1,3,0,3163,0,0,25,56,6,-1,0,0,0,52,3163,1,56,6
CODDOC0949,48,2,0,0,428,1,0,18,127,1,-1,0,0,0,48,428,1,127,1
CODDOC0950,33,0,2,0,106,0,0,20,175,3,-1,0,0,0,33,106,1,175,3
CODDOC0951,44,0,2,0,0,0,0,12,56,2,-1,0,0,0,44,0,1,56,2
CODDOC0953,51,1,2,0,2662,0,0,28,148,2,-1,0,0,0,51,2662,1,148,2
CODDOC0956,39,2,3,0,816,1,0,27,37,3,-1,0,0,0,39,816,1,37,3
CODDOC0957,27,2,2,0,3276,0,0,5,106,1,110,2,0,1,27,3276,1,106,1
CODDOC0958,55,0,0,0,2,1,0,19,95,1,-1,0,0,0,55,2,1,95,1
CODDOC0959,35,2,2,0,-51,0,0,2,134,2,-1,0,0,0,35,-51,1,134,2
CODDOC0960,37,2,3,0,3315,1,0,9,820,2,-1,0,0,0,37,3315,1,500,2
CODDOC0965,53,0,1,0,255,0,0,19,126,1,-1,0,0,0,53,255,1,126,1
CODDOC0966,33,2,3,0,3143,0,0,29,421,2,-1,0,1,0,33,3143,1,421,2
CODDOC0967,47,1,2,0,0,0,0,26,174,8,-1,0,0,0,47,0,1,174,6
CODDOC0968,35,1,2,0,6411,1,1,30,144,1,266,2,0,1,35,4000,1,144,1
CODDOC0969,33,2,3,0,1909,0,0,8,191,2,-1,0,0,0,33,1909,1,191,2
CODDOC0970,55,1,1,0,3873,0,0,21,222,1,-1,0,0,0,55,3873,1,222,1
CODDOC0971,58,1,1,0,1013,1,0,11,206,1,461,1,1,1,58,1013,1,206,1
CODDOC0972,44,1,2,0,262,1,0,9,74,1,-1,0,0,0,44,262,1,74,1
CODDOC0973,25,2,2,0,3217,1,0,28,24,1,-1,0,0,0,25,3217,1,24,1
CODDOC0977,36,0,2,0,1594,0,0,6,250,3,-1,0,0,0,36,1594,1,250,3
CODDOC0978,44,1,3,0,134,0,0,28,86,4,-1,0,0,0,44,134,1,86,4
CODDOC0979,34,0,3,0,262,0,0,20,371,1,-1,0,0,0,34,262,1,371,1
CODDOC0983,54,1,2,0,1291,1,0,5,266,1,-1,0,0,0,54,1291,1,266,1
CODDOC0984,37,0,2,0,79,0,0,21,191,1,-1,0,0,0,37,79,1,191,1
CODDOC0986,58,0,2,0,543,0,1,17,264,3,-1,0,0,0,58,543,1,264,3
CODDOC0987,56,0,3,0,1016,1,0,9,184,5,-1,0,0,0,56,1016,1,184,5
CODDOC0991,46,1,3,0,964,1,0,8,174,1,-1,0,0,0,46,964,1,174,1
CODDOC0992,37,1,3,0,3913,1,0,27,124,1,-1,0,1,0,37,3913,1,124,1
CODDOC0993,39,1,1,0,879,1,0,26,102,2,-1,0,0,0,39,879,1,102,2
CODDOC0994,31,1,2,0,314,1,0,17,279,1,-1,0,0,0,31,314,1,279,1
CODDOC0995,59,1,1,0,0,0,0,27,76,11,-1,0,0,0,59,0,1,76,6
CODDOC0996,38,1,2,0,1370,1,0,11,472,2,-1,0,0,0,38,1370,1,472,2
CODDOC0999,40,1,2,0,-342,1,0,26,754,1,-1,0,0,0,40,-342,1,500,1
CODDOC1004,34,1,3,0,355,1,0,16,261,1,-1,0,0,0,34,355,1,261,1
CODDOC1007,40,1,3,0,5,1,0,18,219,3,-1,0,0,0,40,5,1,219,3
CODDOC1011,23,2,2,0,8494,0,0,25,158,2,-1,0,0,0,23,4000,1,158,2
CODDOC1013,48,1,2,0,841,1,0,19,215,1,-1,0,0,0,48,841,1,215,1
CODDOC1015,36,1,2,0,470,1,0,31,101,4,-1,0,0,0,36,470,1,101,4
CODDOC1016,43,1,2,0,520,1,0,20,15,13,-1,0,0,0,43,520,1,15,6
CODDOC1019,55,1,2,0,466,0,0,17,287,4,-1,0,0,0,55,466,1,287,4
CODDOC1026,56,1,2,0,1044,0,0,3,353,2,-1,0,1,0,56,1044,1,353,2
CODDOC1028,41,2,2,0,231,0,0,9,76,2,-1,0,0,0,41,231,1,76,2
CODDOC1029,31,1,2,0,0,1,1,6,144,2,-1,0,0,0,31,0,1,144,2
CODDOC1033,46,2,1,0,538,0,0,17,118,3,-1,0,0,0,46,538,1,118,3
CODDOC1034,29,2,2,0,534,1,0,18,382,1,-1,0,0,0,29,534,1,382,1
CODDOC1038,43,1,3,0,2767,1,0,15,317,7,-1,0,0,0,43,2767,1,317,6
CODDOC1040,42,2,2,0,9720,0,0,5,81,2,-1,0,0,0,42,4000,1,81,2
CODDOC1041,55,0,2,0,1613,1,0,3,296,1,270,3,1,1,55,1613,1,296,1
CODDOC1042,39,0,2,0,2903,1,1,25,259,2,-1,0,0,0,39,2903,1,259,2
CODDOC1046,58,1,3,0,299,0,0,16,120,4,-1,0,0,0,58,299,1,120,4
CODDOC1050,25,1,2,0,72,1,0,23,305,2,-1,0,0,0,25,72,1,305,2
CODDOC1051,36,1,2,0,0,0,0,20,332,3,-1,0,0,0,36,0,1,332,3
CODDOC1053,30,1,2,0,11,1,0,11,157,1,-1,0,0,0,30,11,1,157,1
CODDOC1056,36,2,3,0,3343,0,0,18,307,1,-1,0,0,0,36,3343,1,307,1
CODDOC1060,57,1,1,0,808,0,0,7,274,1,-1,0,0,0,57,808,1,274,1
CODDOC1064,33,1,1,0,1165,1,0,21,420,2,-1,0,0,0,33,1165,1,420,2
CODDOC1066,30,1,3,0,0,1,0,18,756,1,-1,0,0,0,30,0,1,500,1
CODDOC1067,38,1,2,0,740,0,0,7,259,3,-1,0,0,0,38,740,1,259,3
CODDOC1070,45,2,0,0,7108,1,1,18,53,1,172,3,0,1,45,4000,1,53,1
CODDOC1073,36,1,2,0,419,1,0,30,251,1,-1,0,0,0,36,419,1,251,1
CODDOC1074,30,2,3,0,726,1,0,16,39,1,342,3,0,1,30,726,1,39,1
CODDOC1077,54,1,2,0,2206,0,0,12,104,1,99,2,1,1,54,2206,1,104,1
CODDOC1078,38,1,3,0,1988,0,0,27,164,2,130,2,1,1,38,1988,1,164,2
CODDOC1079,32,2,3,0,0,0,0,7,268,2,-1,0,0,0,32,0,1,268,2
CODDOC1080,50,0,2,0,202,0,1,17,148,1,-1,0,0,0,50,202,1,148,1
CODDOC1081,43,1,2,0,667,1,0,7,228,3,-1,0,0,0,43,667,1,228,3
CODDOC1083,57,1,1,0,50,0,0,18,89,3,-1,0,0,0,57,50,1,89,3
CODDOC1084,64,1,1,0,768,0,0,15,250,2,182,1,0,1,64,768,1,250,2
CODDOC1086,33,1,2,0,661,1,0,18,968,1,-1,0,1,0,33,661,1,500,1
CODDOC1088,47,1,3,0,751,0,0,24,408,14,-1,0,0,0,47,751,1,408,6
CODDOC1091,31,2,1,0,-502,1,0,29,76,4,-1,0,0,0,31,-502,1,76,4
CODDOC1092,50,1,1,0,0,0,0,11,72,5,-1,0,0,0,50,0,1,72,5
CODDOC1094,30,2,3,0,-218,1,0,27,13,15,-1,0,0,0,30,-218,1,13,6
CODDOC1096,36,1,2,0,300,0,0,9,287,1,-1,0,0,0,36,300,1,287,1
CODDOC1099,37,2,2,0,0,0,0,4,69,2,-1,0,0,0,37,0,1,69,2
CODDOC1100,58,1,1,0,5278,1,0,4,763,4,-1,0,0,0,58,4000,1,500,4
CODDOC1102,28,1,3,0,1480,1,0,18,143,1,-1,0,0,0,28,1480,1,143,1
CODDOC1104,55,1,0,0,1665,0,0,30,89,2,-1,0,0,0,55,1665,1,89,2
CODDOC1106,41,1,3,0,2885,0,0,19,40,1,-1,0,0,0,41,2885,1,40,1
CODDOC1107,35,1,2,0,137,0,1,4,5,1,808,12,0,1,35,137,1,5,1
CODDOC1108,34,2,2,0,1239,1,0,18,90,1,-1,0,0,0,34,1239,1,90,1
CODDOC1109,43,2,3,0,146,0,0,21,50,1,113,5,0,1,43,146,1,50,1
CODDOC1113,35,1,2,0,2789,1,0,4,256,2,94,1,0,1,35,2789,1,256,2
CODDOC1116,41,1,2,0,5110,1,0,13,231,1,-1,0,0,0,41,4000,1,231,1
CODDOC1117,28,1,3,0,318,1,0,27,4,4,-1,0,0,0,28,318,1,4,4
CODDOC1118,42,2,3,0,-411,1,0,12,78,5,292,3,0,1,42,-411,1,78,5
CODDOC1120,28,2,3,0,4937,1,0,13,421,3,-1,0,0,0,28,4000,1,421,3
CODDOC1121,48,1,2,0,725,0,1,10,105,1,-1,0,0,0,48,725,1,105,1
CODDOC1122,51,1,3,0,5403,0,0,6,42,1,-1,0,0,0,51,4000,1,42,1
CODDOC1127,77,1,2,0,610,0,0,13,766,3,-1,0,0,0,65,610,1,500,3
CODDOC1132,32,2,2,0,2817,1,0,21,195,1,-1,0,0,0,32,2817,1,195,1
CODDOC1133,41,0,3,0,4567,1,1,16,106,1,-1,0,0,0,41,4000,1,106,1
CODDOC1135,34,1,1,0,176,0,0,24,78,1,-1,0,0,0,34,176,1,78,1
CODDOC1136,57,1,3,0,0,1,1,28,648,1,-1,0,1,0,57,0,1,500,1
CODDOC1137,36,2,2,0,1482,1,0,18,177,2,174,1,0,1,36,1482,1,177,2
CODDOC1138,42,1,2,0,3052,1,0,27,32,1,-1,0,0,0,42,3052,1,32,1
CODDOC1139,35,0,2,0,56,0,0,29,24,12,-1,0,0,0,35,56,1,24,6
CODDOC1141,36,2,3,0,3875,1,0,27,21,5,-1,0,0,0,36,3875,1,21,5
CODDOC1143,60,0,3,0,366,0,0,3,593,1,-1,0,1,0,60,366,1,500,1
CODDOC1145,48,1,3,0,998,1,0,29,121,3,-1,0,0,0,48,998,1,121,3
CODDOC1146,59,1,1,0,0,1,0,28,97,2,-1,0,0,0,59,0,1,97,2
CODDOC1148,44,1,2,0,-182,1,1,14,10,10,-1,0,0,0,44,-182,1,10,6
CODDOC1149,27,2,3,0,446,0,0,23,205,3,-1,0,0,0,27,446,1,205,3
CODDOC1150,59,1,2,0,1173,0,0,9,77,2,-1,0,0,0,59,1173,1,77,2
CODDOC1153,50,1,2,0,0,0,0,4,86,4,-1,0,0,0,50,0,1,86,4
CODDOC1155,47,1,2,0,1934,0,1,14,225,1,364,1,0,1,47,1934,1,225,1
CODDOC1157,38,1,2,0,284,1,1,3,1030,6,-1,0,0,0,38,284,1,500,6
CODDOC1158,55,1,0,0,23,0,0,13,123,2,-1,0,0,0,55,23,1,123,2
CODDOC1159,38,2,3,0,1373,0,0,22,119,4,-1,0,0,0,38,1373,1,119,4
CODDOC1160,31,2,3,0,62,1,0,18,175,1,293,5,0,1,31,62,1,175,1
CODDOC1164,35,1,2,0,977,1,0,4,52,4,91,1,0,1,35,977,1,52,4
CODDOC1167,32,2,3,0,5514,0,0,22,319,1,182,1,1,1,32,4000,1,319,1
CODDOC1169,33,1,3,0,273,1,0,16,803,1,-1,0,1,0,33,273,1,500,1
CODDOC1170,37,1,2,0,1193,0,0,12,396,2,-1,0,0,0,37,1193,1,396,2
CODDOC1174,34,2,2,0,2729,1,0,6,945,1,139,1,0,1,34,2729,1,500,1
